filename,use_penalty,use_sae,use_neuron,decode_strategy,perplexity,bleu,meteor,rep_w,rep_n,rep_r,sample_count
iwslt_penalty_sae_neuron_greedy.jsonl,✓,✓,✓,greedy,2.3430,0.4586,0.0659,0.4383,0.5427,0.9254,1000
iwslt_penalty_sae_neuron_top_k.jsonl,✓,✓,✓,top_k,4.2470,0.5662,0.0875,0.2822,0.1603,0.6124,1000
iwslt_penalty_sae_neuron_top_p.jsonl,✓,✓,✓,top_p,inf,0.6092,0.1057,0.0700,0.0034,0.0589,1000
iwslt_penalty_sae_no_neuron_greedy.jsonl,✓,✓,✗,greedy,1.5585,0.5444,0.0668,0.3637,0.6856,0.9556,1000
iwslt_penalty_sae_no_neuron_top_k.jsonl,✓,✓,✗,top_k,3.1906,0.5737,0.0847,0.3207,0.3057,0.7565,1000
iwslt_penalty_sae_no_neuron_top_p.jsonl,✓,✓,✗,top_p,41.7330,0.6166,0.0996,0.0749,0.0076,0.0777,1000
iwslt_penalty_no_sae_neuron_greedy.jsonl,✓,✗,✓,greedy,2.2957,0.4460,0.0636,0.4625,0.5455,0.9311,1000
iwslt_penalty_no_sae_neuron_top_k.jsonl,✓,✗,✓,top_k,4.1378,0.5616,0.0819,0.3076,0.1683,0.6226,1000
iwslt_penalty_no_sae_neuron_top_p.jsonl,✓,✗,✓,top_p,inf,0.6044,0.1056,0.0756,0.0048,0.0673,1000
iwslt_penalty_no_sae_no_neuron_greedy.jsonl,✓,✗,✗,greedy,1.4908,0.5636,0.0650,0.3781,0.6914,0.9567,1000
iwslt_penalty_no_sae_no_neuron_top_k.jsonl,✓,✗,✗,top_k,3.0095,0.5591,0.0804,0.3270,0.3208,0.7746,1000
iwslt_penalty_no_sae_no_neuron_top_p.jsonl,✓,✗,✗,top_p,39.5442,0.6173,0.0964,0.0739,0.0079,0.0737,1000
iwslt_no_penalty_sae_neuron_greedy.jsonl,✗,✓,✓,greedy,1.7232,0.3670,0.0474,0.5322,0.8452,0.9667,1000
iwslt_no_penalty_sae_neuron_top_k.jsonl,✗,✓,✓,top_k,3.6815,0.5243,0.0794,0.3545,0.3001,0.7107,1000
iwslt_no_penalty_sae_neuron_top_p.jsonl,✗,✓,✓,top_p,inf,0.6108,0.1048,0.0732,0.0078,0.0628,1000
iwslt_no_penalty_sae_no_neuron_greedy.jsonl,✗,✓,✗,greedy,1.3137,0.4667,0.0563,0.5510,0.7882,0.9522,1000
iwslt_no_penalty_sae_no_neuron_top_k.jsonl,✗,✓,✗,top_k,2.4561,0.5364,0.0762,0.3834,0.5086,0.8487,1000
iwslt_no_penalty_sae_no_neuron_top_p.jsonl,✗,✓,✗,top_p,41.8460,0.6138,0.1022,0.0783,0.0101,0.0835,1000
iwslt_no_penalty_no_sae_neuron_greedy.jsonl,✗,✗,✓,greedy,1.6741,0.3584,0.0455,0.5629,0.8534,0.9658,1000
iwslt_no_penalty_no_sae_neuron_top_k.jsonl,✗,✗,✓,top_k,3.5074,0.5454,0.0771,0.3748,0.3147,0.7144,1000
iwslt_no_penalty_no_sae_neuron_top_p.jsonl,✗,✗,✓,top_p,inf,0.6172,0.1051,0.0791,0.0098,0.0699,1000
iwslt_no_penalty_no_sae_no_neuron_greedy.jsonl,✗,✗,✗,greedy,1.2598,0.4816,0.0562,0.5447,0.7866,0.9521,1000
iwslt_no_penalty_no_sae_no_neuron_top_k.jsonl,✗,✗,✗,top_k,2.3314,0.5502,0.0757,0.3907,0.5217,0.8491,1000
iwslt_no_penalty_no_sae_no_neuron_top_p.jsonl,✗,✗,✗,top_p,37.7948,0.6188,0.0975,0.0824,0.0179,0.0922,1000
